2018-03-21 04:25:50,DeNeil395,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:24:40,PeterLe30125667,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:24:28,AssataProtege,"RT @DrDinD: Please note that school resource officers (SRO) are trained law enforcement officers deployed by local police departments, are…"
2018-03-21 04:23:47,jessicamonroe05,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:22:15,sheipet912,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:22:02,Bobjarso1,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:21:16,Carl_HarrisonUk,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:19:18,battlefrontgen1,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:15:38,LeeBlev16990691,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:15:10,direcsjbhan,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:13:37,Paphijohn,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:10:48,ThomasJ17762016,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:08:52,DanaDwetzel,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:07:17,mmcflyanon,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:06:09,Naheanalu,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
