,time,screen_name,text,cumulative_tweets
17919,2018-03-23 16:16:21,JY703,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",29.0
17917,2018-03-23 16:16:37,wise_diva,"RT @BBCBreaking: ""Everything leads us to believe it is a terror attack"" - French President Emmanuel Macron on ongoing #Trèbes hostage situa…",30.0
17918,2018-03-23 16:16:37,ryxiraamyginger,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",31.0
17916,2018-03-23 16:16:43,38_milo,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",32.0
17915,2018-03-23 16:16:47,BernaViana29,"RT @BBCBreaking: What we know so far about hostage situation in #Trèbes, France:

- Elite police surrounding Super U shop, gunman inside

-…",33.0
17914,2018-03-23 16:16:49,Olivers700,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",34.0
17912,2018-03-23 16:16:55,Defense137,#trebes / #carcassone : actualisation n°3 https://t.co/xuqfP0krk3 @gendarmerie #fildefense,35.0
17911,2018-03-23 16:16:55,MoonBess,"RT @yorkspride: 15,000 terrorists now operating on French soil.

This brave woman was the French's opportunity to deal with them and and th…",36.0
17910,2018-03-23 16:17:00,Notlobgavlar,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",37.0
17909,2018-03-23 16:17:08,Becky91663,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",38.0
17908,2018-03-23 16:17:15,BeingBum,"RT @Rita_Katz: Breaking: #ISIS ‘Amaq News Agency reports that #Trebes #France hostage-taker was a “soldier of the Islamic State, who carrie…",39.0
17906,2018-03-23 16:17:24,Inlibertyscause,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",40.0
17904,2018-03-23 16:17:26,covelord,"RT @yorkspride: 15,000 terrorists now operating on French soil.

This brave woman was the French's opportunity to deal with them and and th…",41.0
17905,2018-03-23 16:17:26,CarolMBoothe,"RT @BasedMonitored: It’s going to be a bloody summer throughout Western Civ and the elites are to blame. 

#Trebes https://t.co/0YEb3xC0gD",42.0
17903,2018-03-23 16:17:26,Artemisdmw,"RT @BBCBreaking: Gunman, 26-year-old Redouane Lakdim, reported to have killed three people, is now dead - French government sources say #Tr…",43.0
17902,2018-03-23 16:17:28,abdeslammansou,RT @FRANCE24: #France shooting: #Islamicstate group claims responsibity for hostage-taking situation and terror attack #Trèbes #Carcassonne…,44.0
17901,2018-03-23 16:17:29,nooneishere51,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",45.0
17900,2018-03-23 16:17:32,gffffffdfh,@gffffffdfh's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,46.0
17899,2018-03-23 16:17:34,timvvs,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,47.0
17897,2018-03-23 16:17:41,lisandl1,#trèbes Brave man.,48.0
17896,2018-03-23 16:17:43,Victorienement,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",49.0
17895,2018-03-23 16:17:47,SandeepDass19,RT @Rani99539134: #KartiChidambaram and #ஸ்டாலின்_பழமொழிகள Do you know that Mullah and Kanji and all this Pandit Pardhan are fooling us all…,50.0
17894,2018-03-23 16:17:47,Balthazar6975,"#Trèbes 
Rappel:
https://t.co/oqKFH7B4XZ",51.0
17893,2018-03-23 16:17:50,StevePo46183939,"RT @riyasharma266: How is that possible? You can't legally own a gun in France. Oh, wait criminals don't obey the law.

#Trèbes",52.0
17891,2018-03-23 16:17:52,Ramkuma50861534,RT @Rani99539134: #KartiChidambaram and #ஸ்டாலின்_பழமொழிகள Do you know that Mullah and Kanji and all this Pandit Pardhan are fooling us all…,53.0
17890,2018-03-23 16:17:56,DANELVIS6972,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",54.0
17889,2018-03-23 16:17:56,MayaStanulova,"RT @BBCBreaking: Gunman, 26-year-old Redouane Lakdim, reported to have killed three people, is now dead - French government sources say #Tr…",55.0
17888,2018-03-23 16:17:57,cratestuf,"RT @davidchazan: Heroic French gendarme took place of female hostage in #Trèbes attack claimed by IS. Shot in the throat, he is in serious…",56.0
17887,2018-03-23 16:17:58,Francanfish,RT @ks_mikey: What hero that gendarme is @Gendarmerie - deserves a medal #Trèbes https://t.co/9mjO5dk9FJ,57.0
17885,2018-03-23 16:18:05,NadiaRagozhina,"RT @davidchazan: Heroic French gendarme took place of female hostage in #Trèbes attack claimed by IS. Shot in the throat, he is in serious…",58.0
17886,2018-03-23 16:18:05,angryTX,RT @_Islamicat: Islamicat sad #Trèbes jihadicat has been unlawfully killed by infurdels. Here he is on way to pick up 72 kittens. Allahu ak…,59.0
17884,2018-03-23 16:18:07,SecOutlines,"RT @Rita_Katz: Breaking: #ISIS ‘Amaq News Agency reports that #Trebes #France hostage-taker was a “soldier of the Islamic State, who carrie…",60.0
17879,2018-03-23 16:18:24,kimuwujin,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",61.0
17878,2018-03-23 16:18:25,PatriotMarie,"RT @kjalee: BREAKING: at least two dead in French supermarket hostage-taking, say @AFP security sources. Gunman claiming allegiance to Isla…",62.0
17874,2018-03-23 16:18:35,sxmadar_,"RT @BBCBreaking: What we know so far about hostage situation in #Trèbes, France:

- Elite police surrounding Super U shop, gunman inside

-…",63.0
17873,2018-03-23 16:18:36,bigigi01,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",64.0
17872,2018-03-23 16:18:38,PunkSkylarB,"RT @HagestOuraya: Rotten world, rotten adults #Trèbes",65.0
17871,2018-03-23 16:18:41,Bruskk_,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,66.0
17869,2018-03-23 16:18:45,ElenaChanelle,RT @TerrorEvents: #France #Trèbes - Mayor announces there are 2 victims inside the supermarket. https://t.co/6ak4gcyFZO,67.0
17867,2018-03-23 16:18:54,MKuefner,"RT @dw_politics: ""We stand side by side with France.""

German Chancellor Angela #Merkel has offered French President @EmmanuelMacron German…",68.0
17866,2018-03-23 16:18:54,DiegoValenwer,RT @_ju1_: #Trebes. En fin https://t.co/mn7TC4uBGc,69.0
17865,2018-03-23 16:18:56,crusader4US,"RT @HNCTConsultants: Another ""Terrorism by Crime Spree"" in #France that appears to be #ISIS inspired (waiting to see if enabled). W/variety…",70.0
17863,2018-03-23 16:19:00,sallygachui1,"RT @mercyjubilee: Our Lady, Queen of #Peace, pray for us and for the conversion of all those hearts which are filled with discord, hatred a…",71.0
17860,2018-03-23 16:19:04,Cerrard113,"They give gifts to all whores; but thou givest thy gifts to all thy lovers, and hirest them, that they may come unt… https://t.co/A7DbHZs9Cy",72.0
17862,2018-03-23 16:19:04,ianbates74,"RT @mezgerei: #IslamicTerrorism
What a relief.  The #trèbes attacker is just a ""petty criminal"", according to the @Telegraph.  No doubt he'…",73.0
17861,2018-03-23 16:19:04,rowen316,"RT @riyasharma266: How is that possible? You can't legally own a gun in France. Oh, wait criminals don't obey the law.

#Trèbes",74.0
17857,2018-03-23 16:19:11,Jhen159,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,75.0
17859,2018-03-23 16:19:11,notaracist72,"RT @riyasharma266: How is that possible? You can't legally own a gun in France. Oh, wait criminals don't obey the law.

#Trèbes",76.0
17858,2018-03-23 16:19:11,MarcoLSilva,"RT @GavinLeeBBC: Siege now over.
What we know. 
Attacker has been shot dead by armed French police.
2 victims dead after hostage incident i…",77.0
17856,2018-03-23 16:19:13,Snap_Politics,"RT @MediaJuggernaut: ISIS-aligned Terrorist In #Trebes France Kills 2 In Grocery Store &amp; Is Holding Dozens Hostage.
Strict Gun Laws In Fran…",78.0
17855,2018-03-23 16:19:14,ChrisRobichaud3,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",79.0
17854,2018-03-23 16:19:18,wvanparys,"RT @Tom_Antonov: #Trèbes terror attack in southern France.
A @Gendarmerie LT Colonel swapped places with one of hostages and then placed hi…",80.0
17853,2018-03-23 16:19:19,mattgrayc64,"Incredibly brave response.
#Trebes 
https://t.co/CfPvhqAgmX",81.0
17852,2018-03-23 16:19:19,PascalLTH,"RT @Tom_Antonov: #Trèbes terror attack in southern France.
A @Gendarmerie LT Colonel swapped places with one of hostages and then placed hi…",82.0
17850,2018-03-23 16:19:21,thejohnsimpson,"RT @davidchazan: Heroic French gendarme took place of female hostage in #Trèbes attack claimed by IS. Shot in the throat, he is in serious…",83.0
17849,2018-03-23 16:19:24,gilquillot,RT @AurelieBonal: #Hero Officer from @Gendarmerie offered #Trebes attacker to take him as an hostage to allow other hostages to escape. Let…,84.0
17848,2018-03-23 16:19:30,RJM_Performance,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",85.0
17847,2018-03-23 16:19:31,realSebColin,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",86.0
17846,2018-03-23 16:19:33,HyperObserver,"#France cops kill #Trebes terror gunman who shot dead 3 ppl, 2 held hostage in store  https://t.co/onqQQV9X5t",87.0
17843,2018-03-23 16:19:55,towersunset132,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",88.0
17842,2018-03-23 16:20:03,SL_OKC,"RT @riyasharma266: How is that possible? You can't legally own a gun in France. Oh, wait criminals don't obey the law.

#Trèbes",89.0
17841,2018-03-23 16:20:06,LoriLit30300097,"RT @BasedMonitored: It’s going to be a bloody summer throughout Western Civ and the elites are to blame. 

#Trebes https://t.co/0YEb3xC0gD",90.0
17840,2018-03-23 16:20:10,Baka_nowiz,"RT @BBCBreaking: At least two people now feared dead in #Trèbes hostage situation, with three more wounded and situation ongoing - French I…",91.0
17839,2018-03-23 16:20:11,MrHuman334,"RT @BBCWorld: #Trèbes: The latest reports from supermarket in France where gunman has taken hostages, with at least one person feared dead…",92.0
17838,2018-03-23 16:20:11,leandrorpaulino,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,93.0
17836,2018-03-23 16:20:20,ejabel2,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",94.0
17835,2018-03-23 16:20:23,ChampionMtager,"RT @riyasharma266: How is that possible? You can't legally own a gun in France. Oh, wait criminals don't obey the law.

#Trèbes",95.0
17834,2018-03-23 16:20:30,ceciliacrosby16,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,96.0
17833,2018-03-23 16:20:30,Rparisee,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",97.0
17832,2018-03-23 16:20:37,orangep3,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",98.0
17830,2018-03-23 16:20:44,DKambMali,"RT @anderssamuelsen: Horrified and furious by the terror attack in #Trèbes, France. Denmark stands in solidarity with France against this d…",99.0
17829,2018-03-23 16:20:45,JamesDelingpole,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",100.0
17828,2018-03-23 16:20:47,SuccessTon,"Gunman, 26-year-old Redouane Lakdim, reported to have killed three people, is now dead - French government sources… https://t.co/GtNnDTIFPG",101.0
17826,2018-03-23 16:20:50,EntiLocaliFI,"RT @EP_President: We will fight terrorism tooth and nail. Europe must be united to guarantee security, our citizens’ first freedom. The Eur…",102.0
17825,2018-03-23 16:20:54,knicksfan89,"RT @BBCBreaking: Gunman, 26-year-old Redouane Lakdim, reported to have killed three people, is now dead - French government sources say #Tr…",103.0
17824,2018-03-23 16:21:04,NolanDraco,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",104.0
17823,2018-03-23 16:21:06,johnrodger1969,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",105.0
17822,2018-03-23 16:21:09,S_Vandervelde,"RT @AmazingLucid: Police storm supermarket in #Trèbes 
ISIS Moroccan hostage taker dead 
multiple hostages killed https://t.co/Mgt4LignjF",106.0
17821,2018-03-23 16:21:11,joannastadnik,RT @TerrorEvents: #France #Trèbes - Mayor announces there are 2 victims inside the supermarket. https://t.co/6ak4gcyFZO,107.0
17820,2018-03-23 16:21:15,GayleRashidi,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",108.0
17819,2018-03-23 16:21:20,Its_DineshKumar,Hostages taken in armed siege in the south of #France after gunmen shoot at police at a supermarket. Hostage-taker… https://t.co/WwVKi23fX0,109.0
17818,2018-03-23 16:21:20,afneil,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",110.0
17817,2018-03-23 16:21:23,Chumocracy,#Trèbes attacker #RedouaneLakdim was known to the authorities for petty crimes and wasn't considered a terror threa… https://t.co/1Kv4Fze7U7,111.0
17816,2018-03-23 16:21:23,HumphreyBohun,"RT @dw_politics: ""We stand side by side with France.""

German Chancellor Angela #Merkel has offered French President @EmmanuelMacron German…",112.0
17815,2018-03-23 16:21:28,_quoth_,"RT @Tom_Antonov: #Trèbes terror attack in southern France.
A @Gendarmerie LT Colonel swapped places with one of hostages and then placed hi…",113.0
17814,2018-03-23 16:21:28,SonnyinScotland,hooray  !  #trebes https://t.co/5uQFssWSbC,114.0
17813,2018-03-23 16:21:34,TanyaSchaffer74,RT @TheUpdaterTU: #TUBreaking: #ISIS claims responsibility for the shooting attacks and hostage taking in #Trebes Southern #France that lef…,115.0
17812,2018-03-23 16:21:36,DaleYeah388,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",116.0
17811,2018-03-23 16:21:39,mathewm7,"RT @BBCBreaking: What we know so far about hostage situation in #Trèbes, France:

- Elite police surrounding Super U shop, gunman inside

-…",117.0
17810,2018-03-23 16:21:43,marsha_sherouse,RT @QHSE_Matters: Why is it in most situations labelled 'terrorist' or 'isis inspired' perp is almost always shot dead whereas in others th…,118.0
17808,2018-03-23 16:22:01,politikerpip,"RT @anderssamuelsen: Horrified and furious by the terror attack in #Trèbes, France. Denmark stands in solidarity with France against this d…",119.0
17807,2018-03-23 16:22:04,OttawaDaddy,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",120.0
17806,2018-03-23 16:22:06,Gill_Leighton,Muslim extremist terrorist now shot dead by police in #Trebes (after he murdered 3 people).  #France #EU https://t.co/h3b75aCE5n #Terrorism,121.0
17804,2018-03-23 16:22:16,jullamenace,"RT @MaximeHaes: You advanced idiot, it’s our first mass shooting since the beginning of the year in France.
Y’all already at 49 by now, wit…",122.0
17803,2018-03-23 16:22:17,gremingerosce,"My condolences and sympathy go to all victims of terror attack in #Trebes.  Terrorism on any scale, anywhere, will… https://t.co/N2zAwhf8oZ",123.0
17801,2018-03-23 16:22:23,memenewsdotme,#UPDATE hostage taker killed by police in #Trèbes #France https://t.co/zA62UrdG5X,124.0
17800,2018-03-23 16:22:26,H2oVolk,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",125.0
17798,2018-03-23 16:22:37,BuddhaHosea,The latest DailyKarmA! https://t.co/Z35WQ4Q5Dz #trèbes #brexit,126.0
17796,2018-03-23 16:22:42,csacrestm,"RT @BBCBreaking: ""Everything leads us to believe it is a terror attack"" - French President Emmanuel Macron on ongoing #Trèbes hostage situa…",127.0
17795,2018-03-23 16:22:43,KennethalanKru1,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,128.0
17794,2018-03-23 16:22:44,JohnsonSuzi,#Trèbes It was very touching to get so many messages checking we were safe. My heart goes out to those who were kil… https://t.co/CcZfOzjuaW,129.0
17793,2018-03-23 16:22:50,web123web456,RT @celiabelin: French people fight back terror with tolerance. A very interesting thread on French public opinion by @BorisTouc in the con…,130.0
17792,2018-03-23 16:22:57,kanderson48623,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",131.0
17791,2018-03-23 16:23:00,jmaiolo,"RT @Tom_Antonov: #Trèbes terror attack in southern France.
A @Gendarmerie LT Colonel swapped places with one of hostages and then placed hi…",132.0
17790,2018-03-23 16:23:01,oana_andoni,RT @FRANCE24: #France shooting: #Islamicstate group claims responsibity for hostage-taking situation and terror attack #Trèbes #Carcassonne…,133.0
17789,2018-03-23 16:23:02,maurb33,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",134.0
17788,2018-03-23 16:23:07,1ShadyPete,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",135.0
17787,2018-03-23 16:23:12,InterSquirrel,The #IslamicState group claimed responsibility for the shooting and hostage-taking in southern France. #terrorism… https://t.co/jGsZwylK1L,136.0
17786,2018-03-23 16:23:14,hungary_journal,We will protect #Hungary and Hungarians against #terrorism and attacks like this - FM #Szijjarto #Trebes #terror… https://t.co/LgoPLnlA1p,137.0
17784,2018-03-23 16:23:18,daleycw5,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",138.0
17783,2018-03-23 16:23:35,DorothyHesp,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",139.0
17781,2018-03-23 16:23:53,MARKKASULE,"RT @CGTNOfficial: #BREAKING Police launch raid on supermarket in #Trebes, southern #France; hostage taker shot, according to BFM TV https:/…",140.0
17780,2018-03-23 16:23:56,BroughtonTowers,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",141.0
17779,2018-03-23 16:23:57,torpartjejen1,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",142.0
17778,2018-03-23 16:23:57,danadanewfame,"International News: 2 Dead in #Trebes Supermarket . A Gunman ""ISIS Inspired #villain through The Regime..",143.0
17776,2018-03-23 16:24:04,Sci_FiVixens,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",144.0
17775,2018-03-23 16:24:05,smc752,RT @MikeyKayNYC: I.S claim #Trebes attack... https://t.co/IhPNlOLWga,145.0
17772,2018-03-23 16:24:11,LeMaitreHorvat,RT @hungary_journal: We will protect #Hungary and Hungarians against #terrorism and attacks like this - FM #Szijjarto #Trebes #terror #Fran…,146.0
17771,2018-03-23 16:24:13,BuckInTennessee,"RT @TwitchyTeam: Update: TERRORIST KILLED in #Trèbes, France https://t.co/HzukTQgztz",147.0
17769,2018-03-23 16:24:21,James_Taylor78,"RT @lenababou: I am near of #Trèbes in #France. Like all attacks here, the terrorist was in prison, well known of secret services, went to…",148.0
17768,2018-03-23 16:24:23,Nealius_Maximus,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",149.0
17767,2018-03-23 16:24:31,richardlbrooks,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",150.0
17766,2018-03-23 16:24:31,Nehemie28,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",151.0
17765,2018-03-23 16:24:31,EnlargeYourPen,RT @HashimThaciRKS: Following the disturbing news of the terrorist attack in #Trèbes. #France is beacon of liberty and enlightenment for th…,152.0
17764,2018-03-23 16:24:32,anaglyph32,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",153.0
17763,2018-03-23 16:24:38,Adamsbomb,"RT @riyasharma266: How is that possible? You can't legally own a gun in France. Oh, wait criminals don't obey the law.

#Trèbes",154.0
17762,2018-03-23 16:24:38,xandaodalapa,"RT @BBCBreaking: Gunman, 26-year-old Redouane Lakdim, reported to have killed three people, is now dead - French government sources say #Tr…",155.0
17760,2018-03-23 16:24:41,Chrisuk1943,"RT @moutet: Have just contradicted on air a TV presenter who said Redouane Lakdim, the #Trebes terrorist, had ""executed"" three hostages. Th…",156.0
17759,2018-03-23 16:24:52,LilySej1,RT @SputnikInt: 'We don't want vigils after this': anger on social media over #FranceAttack https://t.co/8H9PWS7evm #Daesh #Trebes https://…,157.0
17757,2018-03-23 16:25:02,tinhyeu33,"RT @mercyjubilee: Our Lady, Queen of #Peace, pray for us and for the conversion of all those hearts which are filled with discord, hatred a…",158.0
17756,2018-03-23 16:25:04,JonRIvins,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",159.0
17755,2018-03-23 16:25:05,quietrightly,"RT @yorkspride: 15,000 terrorists now operating on French soil.

This brave woman was the French's opportunity to deal with them and and th…",160.0
17753,2018-03-23 16:25:19,ted_shed,"RT @thswedishbriton: #ISIS will never be defeated until we, as a society, stop being afraid of dicussing and criticising Islam. #France #Tr…",161.0
17752,2018-03-23 16:25:21,HavrdaJan,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",162.0
17750,2018-03-23 16:25:26,einstein_uk,#Trèbes trying to scare people will only drive us to be #stronger #all #together #fight #idiots 😢😢😢😤😤😤😤,163.0
